[2025-09-03 13:21:13] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-09-03 13:30:05] Started worker 191 for 477 emails
[2025-09-03 13:30:05] Started worker 192 for 477 emails
[2025-09-03 13:30:05] Started worker 193 for 477 emails
[2025-09-03 13:30:05] Started worker 194 for 477 emails
[2025-09-03 13:30:05] Started worker 195 for 477 emails
[2025-09-03 13:30:05] Started worker 196 for 477 emails
[2025-09-03 13:30:05] Started worker 197 for 477 emails
[2025-09-03 13:30:05] Started worker 198 for 477 emails
[2025-09-03 13:30:05] Started worker 199 for 429 emails
[2025-09-03 13:30:06] Processing complete. Remaining unprocessed emails: 99052
[2025-09-03 13:35:24] Starting parallel SMTP processing with MAX_WORKERS=200
[2025-09-03 13:35:24] Started worker 0 for 477 emails
[2025-09-03 13:35:24] Started worker 1 for 477 emails
[2025-09-03 13:35:24] Started worker 2 for 477 emails
[2025-09-03 13:35:24] Started worker 3 for 477 emails
[2025-09-03 13:35:24] Started worker 4 for 477 emails
[2025-09-03 13:35:24] Started worker 5 for 477 emails
[2025-09-03 13:35:24] Started worker 6 for 477 emails
[2025-09-03 13:35:24] Started worker 7 for 477 emails
[2025-09-03 13:35:24] Started worker 8 for 477 emails
[2025-09-03 13:35:24] Started worker 9 for 477 emails
[2025-09-03 13:35:24] Started worker 10 for 477 emails
[2025-09-03 13:35:24] Started worker 11 for 477 emails
[2025-09-03 13:35:24] Started worker 12 for 477 emails
[2025-09-03 13:35:24] Started worker 13 for 477 emails
[2025-09-03 13:35:24] Started worker 14 for 477 emails
[2025-09-03 13:35:24] Started worker 15 for 477 emails
[2025-09-03 13:35:24] Started worker 16 for 477 emails
[2025-09-03 13:35:24] Started worker 17 for 477 emails
[2025-09-03 13:35:24] Started worker 18 for 477 emails
[2025-09-03 13:35:24] Started worker 19 for 477 emails
[2025-09-03 13:35:24] Started worker 20 for 477 emails
[2025-09-03 13:35:24] Started worker 21 for 477 emails
[2025-09-03 13:35:24] Started worker 22 for 477 emails
[2025-09-03 13:35:24] Started worker 23 for 477 emails
[2025-09-03 13:35:24] Started worker 24 for 477 emails
[2025-09-03 13:35:24] Started worker 25 for 477 emails
[2025-09-03 13:35:24] Started worker 26 for 477 emails
[2025-09-03 13:35:24] Started worker 27 for 477 emails
[2025-09-03 13:35:24] Started worker 28 for 477 emails
[2025-09-03 13:35:24] Started worker 29 for 477 emails
[2025-09-03 13:35:24] Started worker 30 for 477 emails
[2025-09-03 13:35:24] Started worker 31 for 477 emails
[2025-09-03 13:35:24] Started worker 32 for 477 emails
[2025-09-03 13:35:24] Started worker 33 for 477 emails
[2025-09-03 13:35:24] Started worker 34 for 477 emails
[2025-09-03 13:35:24] Started worker 35 for 477 emails
[2025-09-03 13:35:24] Started worker 36 for 477 emails
[2025-09-03 13:35:24] Started worker 37 for 477 emails
